Archivo,Peso (KB),Algoritmo,Energia Encrypt (J),Energia Encrypt (J/byte),Energia Decrypt (J),Energia Decrypt (J/byte)
audio_073.mp3,3533.40,3DES,2.9397,0.00000081,2.0597,0.00000057
audio_073.mp3,3533.40,ChaCha20,0.0059,0.00000000,0.0096,0.00000000
audio_073.mp3,3533.40,Camellia,0.0673,0.00000002,0.0824,0.00000002
audio_074.mp3,3581.76,AES,0.0035,0.00000000,0.0116,0.00000000
audio_074.mp3,3581.76,3DES,1.6438,0.00000045,1.6046,0.00000044
audio_074.mp3,3581.76,ChaCha20,0.0051,0.00000000,0.0095,0.00000000
audio_074.mp3,3581.76,Camellia,0.1299,0.00000004,0.0096,0.00000000
audio_075.mp3,3630.75,AES,0.0019,0.00000000,0.0043,0.00000000
audio_075.mp3,3630.75,3DES,3.7090,0.00000100,1.9028,0.00000051
audio_075.mp3,3630.75,ChaCha20,0.0048,0.00000000,0.0158,0.00000000
audio_075.mp3,3630.75,Camellia,0.0638,0.00000002,0.0169,0.00000000
audio_076.mp3,3679.11,AES,0.0000,0.00000000,0.0099,0.00000000
audio_076.mp3,3679.11,3DES,1.7158,0.00000046,1.8592,0.00000049
audio_076.mp3,3679.11,ChaCha20,0.0060,0.00000000,0.0040,0.00000000
audio_076.mp3,3679.11,Camellia,0.0235,0.00000001,0.0134,0.00000000
audio_077.mp3,3728.09,AES,0.0105,0.00000000,0.0011,0.00000000
audio_077.mp3,3728.09,3DES,2.2911,0.00000060,2.6398,0.00000069
audio_077.mp3,3728.09,ChaCha20,0.0200,0.00000001,0.0044,0.00000000
audio_077.mp3,3728.09,Camellia,0.1018,0.00000003,0.0130,0.00000000
audio_078.mp3,3777.07,AES,0.0158,0.00000000,0.0046,0.00000000
audio_078.mp3,3777.07,3DES,2.1298,0.00000055,1.9130,0.00000049
audio_078.mp3,3777.07,ChaCha20,0.0150,0.00000000,0.0029,0.00000000
audio_078.mp3,3777.07,Camellia,0.0824,0.00000002,0.0221,0.00000001
audio_079.mp3,3825.44,AES,0.0021,0.00000000,0.0225,0.00000001
audio_079.mp3,3825.44,3DES,2.3206,0.00000059,2.0616,0.00000053
audio_079.mp3,3825.44,ChaCha20,0.0011,0.00000000,0.0039,0.00000000
audio_079.mp3,3825.44,Camellia,0.0206,0.00000001,0.0836,0.00000002
audio_080.mp3,3874.42,AES,0.0167,0.00000000,0.0121,0.00000000
audio_080.mp3,3874.42,3DES,1.9707,0.00000050,2.0078,0.00000051
audio_080.mp3,3874.42,ChaCha20,0.0041,0.00000000,0.0054,0.00000000
audio_080.mp3,3874.42,Camellia,0.0398,0.00000001,0.0449,0.00000001
audio_081.mp3,3922.79,AES,0.0119,0.00000000,0.0105,0.00000000
audio_081.mp3,3922.79,3DES,2.3327,0.00000058,2.2136,0.00000055
audio_081.mp3,3922.79,ChaCha20,0.0013,0.00000000,0.0172,0.00000000
audio_081.mp3,3922.79,Camellia,0.0383,0.00000001,0.0148,0.00000000
audio_082.mp3,3971.76,AES,0.0057,0.00000000,0.0000,0.00000000
audio_082.mp3,3971.76,3DES,2.0624,0.00000051,2.3731,0.00000058
audio_082.mp3,3971.76,ChaCha20,0.0012,0.00000000,0.0027,0.00000000
audio_082.mp3,3971.76,Camellia,0.1702,0.00000004,0.0235,0.00000001
audio_083.mp3,4020.13,AES,0.0148,0.00000000,0.0040,0.00000000
audio_083.mp3,4020.13,3DES,2.0434,0.00000050,1.7527,0.00000043
audio_083.mp3,4020.13,ChaCha20,0.0106,0.00000000,0.0108,0.00000000
audio_083.mp3,4020.13,Camellia,0.1218,0.00000003,0.0767,0.00000002
audio_084.mp3,4069.11,AES,0.0082,0.00000000,0.0043,0.00000000
audio_084.mp3,4069.11,3DES,2.0036,0.00000048,1.7817,0.00000043
audio_084.mp3,4069.11,ChaCha20,0.0023,0.00000000,0.0034,0.00000000
audio_084.mp3,4069.11,Camellia,0.0239,0.00000001,0.0240,0.00000001
audio_085.mp3,4117.48,AES,0.0287,0.00000001,0.0000,0.00000000
audio_085.mp3,4117.48,3DES,1.8215,0.00000043,2.0116,0.00000048
audio_085.mp3,4117.48,ChaCha20,0.0000,0.00000000,0.0011,0.00000000
audio_085.mp3,4117.48,Camellia,0.0683,0.00000002,0.0099,0.00000000
audio_086.mp3,4166.46,AES,0.0239,0.00000001,0.0055,0.00000000
audio_086.mp3,4166.46,3DES,2.8891,0.00000068,1.8828,0.00000044
audio_086.mp3,4166.46,ChaCha20,0.0070,0.00000000,0.0040,0.00000000
audio_086.mp3,4166.46,Camellia,0.0513,0.00000001,0.0243,0.00000001
audio_087.mp3,4215.44,AES,0.0059,0.00000000,0.0109,0.00000000
audio_087.mp3,4215.44,3DES,1.6115,0.00000037,2.7504,0.00000064
audio_087.mp3,4215.44,ChaCha20,0.0299,0.00000001,0.0109,0.00000000
audio_087.mp3,4215.44,Camellia,0.0228,0.00000001,0.0104,0.00000000
audio_088.mp3,4263.81,AES,0.0034,0.00000000,0.0128,0.00000000
audio_088.mp3,4263.81,3DES,2.0942,0.00000048,2.2441,0.00000051
audio_088.mp3,4263.81,ChaCha20,0.0052,0.00000000,0.0078,0.00000000
audio_088.mp3,4263.81,Camellia,0.0795,0.00000002,0.0240,0.00000001
audio_089.mp3,4312.79,AES,0.0059,0.00000000,0.0071,0.00000000
audio_089.mp3,4312.79,3DES,3.6824,0.00000083,2.6647,0.00000060
audio_089.mp3,4312.79,ChaCha20,0.0139,0.00000000,0.0061,0.00000000
audio_089.mp3,4312.79,Camellia,0.0366,0.00000001,0.0206,0.00000000
audio_090.mp3,4361.15,AES,0.0178,0.00000000,0.0011,0.00000000
audio_090.mp3,4361.15,3DES,2.0557,0.00000046,2.2207,0.00000050
audio_090.mp3,4361.15,ChaCha20,0.0085,0.00000000,0.0106,0.00000000
audio_090.mp3,4361.15,Camellia,0.1204,0.00000003,0.0432,0.00000001
audio_091.mp3,4410.13,AES,0.0048,0.00000000,0.0033,0.00000000
audio_091.mp3,4410.13,3DES,3.0117,0.00000067,2.7346,0.00000061
audio_091.mp3,4410.13,ChaCha20,0.0020,0.00000000,0.0074,0.00000000
audio_091.mp3,4410.13,Camellia,0.0174,0.00000000,0.2094,0.00000005
audio_092.mp3,4458.50,AES,0.0105,0.00000000,0.0000,0.00000000
audio_092.mp3,4458.50,3DES,2.9982,0.00000066,2.6911,0.00000059
audio_092.mp3,4458.50,ChaCha20,0.0098,0.00000000,0.0000,0.00000000
audio_092.mp3,4458.50,Camellia,0.0195,0.00000000,0.1336,0.00000003
audio_093.mp3,4507.48,AES,0.0026,0.00000000,0.0112,0.00000000
audio_093.mp3,4507.48,3DES,2.6818,0.00000058,3.1420,0.00000068
audio_093.mp3,4507.48,ChaCha20,0.0056,0.00000000,0.0039,0.00000000
audio_093.mp3,4507.48,Camellia,0.0162,0.00000000,0.0656,0.00000001
audio_094.mp3,4556.46,AES,0.0073,0.00000000,0.0030,0.00000000
audio_094.mp3,4556.46,3DES,3.6385,0.00000078,2.7172,0.00000058
audio_094.mp3,4556.46,ChaCha20,0.0068,0.00000000,0.0068,0.00000000
audio_094.mp3,4556.46,Camellia,0.0223,0.00000000,0.2245,0.00000005
audio_095.mp3,4604.83,AES,0.0135,0.00000000,0.0025,0.00000000
audio_095.mp3,4604.83,3DES,2.9861,0.00000063,3.0174,0.00000064
audio_095.mp3,4604.83,ChaCha20,0.0024,0.00000000,0.0000,0.00000000
audio_095.mp3,4604.83,Camellia,0.0527,0.00000001,0.0584,0.00000001
audio_096.mp3,4653.81,AES,0.0099,0.00000000,0.0184,0.00000000
audio_096.mp3,4653.81,3DES,2.5891,0.00000054,2.3421,0.00000049
audio_096.mp3,4653.81,ChaCha20,0.0012,0.00000000,0.0083,0.00000000
audio_096.mp3,4653.81,Camellia,0.0955,0.00000002,0.0872,0.00000002
audio_097.mp3,4702.17,AES,0.0036,0.00000000,0.0046,0.00000000
audio_097.mp3,4702.17,3DES,2.1435,0.00000045,2.5344,0.00000053
audio_097.mp3,4702.17,ChaCha20,0.0041,0.00000000,0.0083,0.00000000
audio_097.mp3,4702.17,Camellia,0.0615,0.00000001,0.0208,0.00000000
audio_098.mp3,4751.15,AES,0.0065,0.00000000,0.0095,0.00000000
audio_098.mp3,4751.15,3DES,3.1073,0.00000064,2.6964,0.00000055
audio_098.mp3,4751.15,ChaCha20,0.0054,0.00000000,0.0030,0.00000000
audio_098.mp3,4751.15,Camellia,0.0517,0.00000001,0.0224,0.00000000
audio_099.mp3,4799.52,AES,0.0259,0.00000001,0.0219,0.00000000
audio_099.mp3,4799.52,3DES,2.7053,0.00000055,3.3030,0.00000067
audio_099.mp3,4799.52,ChaCha20,0.0118,0.00000000,0.0036,0.00000000
audio_099.mp3,4799.52,Camellia,0.0287,0.00000001,0.0743,0.00000002
audio_100.mp3,4848.50,AES,0.0013,0.00000000,0.0180,0.00000000
audio_100.mp3,4848.50,3DES,2.3318,0.00000047,2.7014,0.00000054
audio_100.mp3,4848.50,ChaCha20,0.0115,0.00000000,0.0090,0.00000000
audio_100.mp3,4848.50,Camellia,0.0593,0.00000001,0.0926,0.00000002
img_001.jpg,14.53,AES,0.0001,0.00000001,0.0002,0.00000001
img_001.jpg,14.53,3DES,0.0088,0.00000059,0.0073,0.00000049
img_001.jpg,14.53,ChaCha20,0.0000,0.00000000,0.0002,0.00000001
img_001.jpg,14.53,Camellia,0.0000,0.00000000,0.0005,0.00000004
img_002.jpg,17.71,AES,0.0002,0.00000001,0.0002,0.00000001
img_002.jpg,17.71,3DES,0.0069,0.00000038,0.0073,0.00000040
img_002.jpg,17.71,ChaCha20,0.0001,0.00000000,0.0006,0.00000003
img_002.jpg,17.71,Camellia,0.0009,0.00000005,0.0002,0.00000001
img_003.jpg,26.08,AES,0.0001,0.00000000,0.0001,0.00000001
img_003.jpg,26.08,3DES,0.0111,0.00000042,0.0086,0.00000032
img_003.jpg,26.08,ChaCha20,0.0002,0.00000001,0.0000,0.00000000
img_003.jpg,26.08,Camellia,0.0000,0.00000000,0.0001,0.00000000
img_004.jpg,34.67,AES,0.0002,0.00000001,0.0001,0.00000000
img_004.jpg,34.67,3DES,0.0045,0.00000013,0.0084,0.00000024
img_004.jpg,34.67,ChaCha20,0.0002,0.00000000,0.0011,0.00000003
img_004.jpg,34.67,Camellia,0.0006,0.00000002,0.0002,0.00000001
img_005.jpg,45.20,AES,0.0001,0.00000000,0.0000,0.00000000
img_005.jpg,45.20,3DES,0.0093,0.00000020,0.0055,0.00000012
img_005.jpg,45.20,ChaCha20,0.0002,0.00000000,0.0001,0.00000000
img_005.jpg,45.20,Camellia,0.0002,0.00000000,0.0007,0.00000001
img_006.jpg,56.35,AES,0.0005,0.00000001,0.0002,0.00000000
img_006.jpg,56.35,3DES,0.0713,0.00000124,0.0199,0.00000035
img_006.jpg,56.35,ChaCha20,0.0001,0.00000000,0.0003,0.00000001
img_006.jpg,56.35,Camellia,0.0008,0.00000001,0.0016,0.00000003
img_007.jpg,65.05,AES,0.0001,0.00000000,0.0000,0.00000000
img_007.jpg,65.05,3DES,0.0207,0.00000031,0.0296,0.00000045
img_007.jpg,65.05,ChaCha20,0.0006,0.00000001,0.0001,0.00000000
img_007.jpg,65.05,Camellia,0.0006,0.00000001,0.0019,0.00000003
img_008.jpg,72.23,AES,0.0006,0.00000001,0.0001,0.00000000
img_008.jpg,72.23,3DES,0.0159,0.00000022,0.0154,0.00000021
img_008.jpg,72.23,ChaCha20,0.0001,0.00000000,0.0002,0.00000000
img_008.jpg,72.23,Camellia,0.0018,0.00000002,0.0013,0.00000002
img_009.jpg,85.10,AES,0.0005,0.00000001,0.0001,0.00000000
img_009.jpg,85.10,3DES,0.0155,0.00000018,0.1056,0.00000121
img_009.jpg,85.10,ChaCha20,0.0004,0.00000001,0.0010,0.00000001
img_009.jpg,85.10,Camellia,0.0018,0.00000002,0.0000,0.00000000
img_010.jpg,93.04,AES,0.0002,0.00000000,0.0003,0.00000000
img_010.jpg,93.04,3DES,0.0251,0.00000026,0.0286,0.00000030
img_010.jpg,93.04,ChaCha20,0.0001,0.00000000,0.0003,0.00000000
img_010.jpg,93.04,Camellia,0.0025,0.00000003,0.0008,0.00000001
img_011.jpg,102.24,AES,0.0003,0.00000000,0.0002,0.00000000
img_011.jpg,102.24,3DES,0.0560,0.00000054,0.0041,0.00000004
img_011.jpg,102.24,ChaCha20,0.0005,0.00000000,0.0000,0.00000000
img_011.jpg,102.24,Camellia,0.0057,0.00000005,0.0023,0.00000002
img_012.jpg,112.34,AES,0.0001,0.00000000,0.0019,0.00000002
img_012.jpg,112.34,3DES,0.0102,0.00000009,0.0182,0.00000016
img_012.jpg,112.34,ChaCha20,0.0000,0.00000000,0.0002,0.00000000
img_012.jpg,112.34,Camellia,0.0031,0.00000003,0.0053,0.00000005
img_013.jpg,123.52,AES,0.0001,0.00000000,0.0003,0.00000000
img_013.jpg,123.52,3DES,0.1381,0.00000109,0.0577,0.00000046
img_013.jpg,123.52,ChaCha20,0.0001,0.00000000,0.0002,0.00000000
img_013.jpg,123.52,Camellia,0.0005,0.00000000,0.0039,0.00000003
img_014.jpg,136.63,AES,0.0001,0.00000000,0.0001,0.00000000
img_014.jpg,136.63,3DES,0.0724,0.00000052,0.0219,0.00000016
img_014.jpg,136.63,ChaCha20,0.0002,0.00000000,0.0001,0.00000000
img_014.jpg,136.63,Camellia,0.0024,0.00000002,0.0016,0.00000001
img_015.jpg,143.26,AES,0.0008,0.00000001,0.0011,0.00000001
img_015.jpg,143.26,3DES,0.0461,0.00000031,0.1011,0.00000069
img_015.jpg,143.26,ChaCha20,0.0000,0.00000000,0.0006,0.00000000
img_015.jpg,143.26,Camellia,0.0013,0.00000001,0.0013,0.00000001
img_016.jpg,156.11,AES,0.0008,0.00000001,0.0001,0.00000000
img_016.jpg,156.11,3DES,0.1405,0.00000088,0.0251,0.00000016
img_016.jpg,156.11,ChaCha20,0.0005,0.00000000,0.0020,0.00000001
img_016.jpg,156.11,Camellia,0.0051,0.00000003,0.0018,0.00000001
img_017.jpg,166.83,AES,0.0001,0.00000000,0.0005,0.00000000
img_017.jpg,166.83,3DES,0.0575,0.00000034,0.0538,0.00000031
img_017.jpg,166.83,ChaCha20,0.0003,0.00000000,0.0004,0.00000000
img_017.jpg,166.83,Camellia,0.0047,0.00000003,0.0012,0.00000001
img_018.jpg,177.03,AES,0.0010,0.00000001,0.0011,0.00000001
img_018.jpg,177.03,3DES,0.0348,0.00000019,0.0552,0.00000030
img_018.jpg,177.03,ChaCha20,0.0006,0.00000000,0.0002,0.00000000
img_018.jpg,177.03,Camellia,0.0000,0.00000000,0.0024,0.00000001
img_019.jpg,187.07,AES,0.0006,0.00000000,0.0006,0.00000000
img_019.jpg,187.07,3DES,0.1094,0.00000057,0.0745,0.00000039
img_019.jpg,187.07,ChaCha20,0.0003,0.00000000,0.0000,0.00000000
img_019.jpg,187.07,Camellia,0.0033,0.00000002,0.0078,0.00000004
img_020.jpg,194.61,AES,0.0006,0.00000000,0.0031,0.00000002
img_020.jpg,194.61,3DES,0.0249,0.00000013,0.1082,0.00000054
img_020.jpg,194.61,ChaCha20,0.0004,0.00000000,0.0001,0.00000000
img_020.jpg,194.61,Camellia,0.0038,0.00000002,0.0046,0.00000002
img_021.jpg,194.61,AES,0.0026,0.00000001,0.0013,0.00000001
img_021.jpg,194.61,3DES,0.0269,0.00000013,0.0269,0.00000013
img_021.jpg,194.61,ChaCha20,0.0001,0.00000000,0.0004,0.00000000
img_021.jpg,194.61,Camellia,0.0034,0.00000002,0.0009,0.00000000
img_022.jpg,214.63,AES,0.0001,0.00000000,0.0006,0.00000000
img_022.jpg,214.63,3DES,0.1213,0.00000055,0.0910,0.00000041
img_022.jpg,214.63,ChaCha20,0.0006,0.00000000,0.0008,0.00000000
img_022.jpg,214.63,Camellia,0.0035,0.00000002,0.0020,0.00000001
img_023.jpg,223.37,AES,0.0001,0.00000000,0.0007,0.00000000
img_023.jpg,223.37,3DES,0.0632,0.00000028,0.0478,0.00000021
img_023.jpg,223.37,ChaCha20,0.0008,0.00000000,0.0004,0.00000000
img_023.jpg,223.37,Camellia,0.0022,0.00000001,0.0043,0.00000002
img_024.jpg,233.78,AES,0.0010,0.00000000,0.0010,0.00000000
img_024.jpg,233.78,3DES,0.0631,0.00000026,0.1495,0.00000062
img_024.jpg,233.78,ChaCha20,0.0001,0.00000000,0.0017,0.00000001
img_024.jpg,233.78,Camellia,0.0076,0.00000003,0.0000,0.00000000
img_025.jpg,260.88,AES,0.0014,0.00000001,0.0007,0.00000000
img_025.jpg,260.88,3DES,0.0659,0.00000025,0.0826,0.00000031
img_025.jpg,260.88,ChaCha20,0.0003,0.00000000,0.0009,0.00000000
img_025.jpg,260.88,Camellia,0.0025,0.00000001,0.0050,0.00000002
img_026.jpg,257.04,AES,0.0000,0.00000000,0.0013,0.00000000
img_026.jpg,257.04,3DES,0.2305,0.00000088,0.0471,0.00000018
img_026.jpg,257.04,ChaCha20,0.0002,0.00000000,0.0011,0.00000000
img_026.jpg,257.04,Camellia,0.0014,0.00000001,0.0066,0.00000002
img_027.jpg,267.60,AES,0.0008,0.00000000,0.0041,0.00000001
img_027.jpg,267.60,3DES,0.0594,0.00000022,0.0723,0.00000026
img_027.jpg,267.60,ChaCha20,0.0004,0.00000000,0.0003,0.00000000
img_027.jpg,267.60,Camellia,0.0018,0.00000001,0.0017,0.00000001
img_028.jpg,274.17,AES,0.0016,0.00000001,0.0019,0.00000001
img_028.jpg,274.17,3DES,0.1051,0.00000037,0.0531,0.00000019
img_028.jpg,274.17,ChaCha20,0.0011,0.00000000,0.0000,0.00000000
img_028.jpg,274.17,Camellia,0.0034,0.00000001,0.0052,0.00000002
img_029.jpg,286.94,AES,0.0000,0.00000000,0.0002,0.00000000
img_029.jpg,286.94,3DES,0.1573,0.00000054,0.2674,0.00000091
img_029.jpg,286.94,ChaCha20,0.0000,0.00000000,0.0008,0.00000000
img_029.jpg,286.94,Camellia,0.0078,0.00000003,0.0064,0.00000002
img_030.jpg,295.25,AES,0.0009,0.00000000,0.0017,0.00000001
img_030.jpg,295.25,3DES,0.0837,0.00000028,0.1282,0.00000042
img_030.jpg,295.25,ChaCha20,0.0004,0.00000000,0.0002,0.00000000
img_030.jpg,295.25,Camellia,0.0035,0.00000001,0.0097,0.00000003
img_031.jpg,302.25,AES,0.0014,0.00000000,0.0057,0.00000002
img_031.jpg,302.25,3DES,0.2441,0.00000079,0.1203,0.00000039
img_031.jpg,302.25,ChaCha20,0.0007,0.00000000,0.0011,0.00000000
img_031.jpg,302.25,Camellia,0.0032,0.00000001,0.0000,0.00000000
img_032.jpg,313.63,AES,0.0000,0.00000000,0.0017,0.00000001
img_032.jpg,313.63,3DES,0.1672,0.00000052,0.1447,0.00000045
img_032.jpg,313.63,ChaCha20,0.0008,0.00000000,0.0017,0.00000001
img_032.jpg,313.63,Camellia,0.0121,0.00000004,0.0080,0.00000002
img_033.jpg,352.21,AES,0.0001,0.00000000,0.0003,0.00000000
img_033.jpg,352.21,3DES,0.1193,0.00000033,0.0744,0.00000021
img_033.jpg,352.21,ChaCha20,0.0002,0.00000000,0.0018,0.00000001
img_033.jpg,352.21,Camellia,0.0445,0.00000012,0.0037,0.00000001
img_034.jpg,323.57,AES,0.0002,0.00000000,0.0019,0.00000001
img_034.jpg,323.57,3DES,0.0570,0.00000017,0.0561,0.00000017
img_034.jpg,323.57,ChaCha20,0.0001,0.00000000,0.0016,0.00000000
img_034.jpg,323.57,Camellia,0.0018,0.00000001,0.0094,0.00000003
img_035.jpg,341.06,AES,0.0010,0.00000000,0.0009,0.00000000
img_035.jpg,341.06,3DES,0.0985,0.00000028,0.2539,0.00000073
img_035.jpg,341.06,ChaCha20,0.0003,0.00000000,0.0003,0.00000000
img_035.jpg,341.06,Camellia,0.0118,0.00000003,0.0069,0.00000002
img_036.jpg,356.99,AES,0.0037,0.00000001,0.0031,0.00000001
img_036.jpg,356.99,3DES,0.0959,0.00000026,0.0690,0.00000019
img_036.jpg,356.99,ChaCha20,0.0005,0.00000000,0.0015,0.00000000
img_036.jpg,356.99,Camellia,0.0025,0.00000001,0.0009,0.00000000
img_037.jpg,362.62,AES,0.0016,0.00000000,0.0018,0.00000000
img_037.jpg,362.62,3DES,0.1106,0.00000030,0.0812,0.00000022
img_037.jpg,362.62,ChaCha20,0.0006,0.00000000,0.0000,0.00000000
img_037.jpg,362.62,Camellia,0.0069,0.00000002,0.0029,0.00000001
img_038.jpg,377.53,AES,0.0023,0.00000001,0.0014,0.00000000
img_038.jpg,377.53,3DES,0.3019,0.00000078,0.2951,0.00000076
img_038.jpg,377.53,ChaCha20,0.0022,0.00000001,0.0020,0.00000001
img_038.jpg,377.53,Camellia,0.0086,0.00000002,0.0033,0.00000001
img_039.jpg,383.77,AES,0.0022,0.00000001,0.0009,0.00000000
img_039.jpg,383.77,3DES,0.1914,0.00000049,0.0940,0.00000024
img_039.jpg,383.77,ChaCha20,0.0000,0.00000000,0.0007,0.00000000
img_039.jpg,383.77,Camellia,0.0096,0.00000002,0.0000,0.00000000
img_040.jpg,443.04,AES,0.0002,0.00000000,0.0005,0.00000000
img_040.jpg,443.04,3DES,0.4112,0.00000091,0.4945,0.00000109
img_040.jpg,443.04,ChaCha20,0.0005,0.00000000,0.0000,0.00000000
img_040.jpg,443.04,Camellia,0.0220,0.00000005,0.0030,0.00000001
img_041.jpg,407.11,AES,0.0013,0.00000000,0.0005,0.00000000
img_041.jpg,407.11,3DES,0.2482,0.00000060,0.2619,0.00000063
img_041.jpg,407.11,ChaCha20,0.0003,0.00000000,0.0010,0.00000000
img_041.jpg,407.11,Camellia,0.0031,0.00000001,0.0021,0.00000000
img_042.jpg,417.41,AES,0.0010,0.00000000,0.0062,0.00000001
img_042.jpg,417.41,3DES,0.2584,0.00000060,0.0847,0.00000020
img_042.jpg,417.41,ChaCha20,0.0003,0.00000000,0.0010,0.00000000
img_042.jpg,417.41,Camellia,0.0089,0.00000002,0.0012,0.00000000
img_043.jpg,438.70,AES,0.0003,0.00000000,0.0003,0.00000000
img_043.jpg,438.70,3DES,0.3076,0.00000068,0.3525,0.00000078
img_043.jpg,438.70,ChaCha20,0.0002,0.00000000,0.0026,0.00000001
img_043.jpg,438.70,Camellia,0.0156,0.00000003,0.0033,0.00000001
img_044.jpg,437.55,AES,0.0047,0.00000001,0.0030,0.00000001
img_044.jpg,437.55,3DES,0.3685,0.00000082,0.6180,0.00000138
img_044.jpg,437.55,ChaCha20,0.0012,0.00000000,0.0010,0.00000000
img_044.jpg,437.55,Camellia,0.0092,0.00000002,0.0054,0.00000001
img_045.jpg,444.60,AES,0.0032,0.00000001,0.0006,0.00000000
img_045.jpg,444.60,3DES,0.3811,0.00000084,0.2387,0.00000052
img_045.jpg,444.60,ChaCha20,0.0005,0.00000000,0.0014,0.00000000
img_045.jpg,444.60,Camellia,0.0051,0.00000001,0.0011,0.00000000
img_046.jpg,450.95,AES,0.0001,0.00000000,0.0019,0.00000000
img_046.jpg,450.95,3DES,0.4557,0.00000099,0.4087,0.00000088
img_046.jpg,450.95,ChaCha20,0.0002,0.00000000,0.0011,0.00000000
img_046.jpg,450.95,Camellia,0.1199,0.00000026,0.0017,0.00000000
img_047.jpg,464.82,AES,0.0042,0.00000001,0.0000,0.00000000
img_047.jpg,464.82,3DES,0.2477,0.00000052,0.2733,0.00000057
img_047.jpg,464.82,ChaCha20,0.0006,0.00000000,0.0001,0.00000000
img_047.jpg,464.82,Camellia,0.0063,0.00000001,0.0178,0.00000004
